epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8279,0.8865,4.21556,1.09117,0.88356,1,0.995,0.8955,0.37665,2.51511,0.79427,0,0,0
2,30.8588,0.86967,3.69098,0.9616,0.96732,1,0.995,0.8955,0.36646,1.28871,0.78331,1.802e-05,1.802e-05,1.802e-05
3,44.8045,0.93863,2.21624,1.04701,0.93072,1,0.995,0.995,0.33684,1.8824,0.76489,3.208e-05,3.208e-05,3.208e-05
4,57.561,0.81514,1.98667,0.96487,0.9702,1,0.995,0.995,0.2796,1.68709,0.74208,4.218e-05,4.218e-05,4.218e-05
5,70.3484,0.74622,1.76588,0.91851,0.97359,1,0.995,0.995,0.28349,1.28108,0.74712,4.832e-05,4.832e-05,4.832e-05
6,84.9127,0.56506,1.64117,0.89328,0.96754,1,0.995,0.995,0.25017,1.15129,0.8172,5.05e-05,5.05e-05,5.05e-05
7,101.494,0.5658,1.33375,0.91177,0.97252,1,0.995,0.8955,0.45621,0.70673,0.88901,4.872e-05,4.872e-05,4.872e-05
8,125.203,0.65257,1.49212,0.86801,0.9744,1,0.995,0.8955,0.53879,1.19117,0.92152,4.298e-05,4.298e-05,4.298e-05
9,145.301,0.80753,1.50763,0.9612,0.97374,1,0.995,0.8955,0.57274,0.96852,0.93876,3.328e-05,3.328e-05,3.328e-05
10,165.213,0.66501,1.27294,1.1482,0.9734,1,0.995,0.8955,0.34391,1.17047,0.842,1.962e-05,1.962e-05,1.962e-05
